gene,CerD1,CerD2,CerD3,CerW1,CerW2,CerW3,CocD1,CocD2,CocD3,CocW1,CocW2,CocW3,NigD1,NigD2,NigD3,NigW1,NigW2,NigW3,PenD1,PenD2,PenD3,PenW1,PenW2,PenW3,SorD1,SorD2,SorD3,SorW1,SorW2,SorW3
PhHAL.2G439500,0,0,1.279572325,-0.111638986,-0.111638986,-0.111638986,1.783783502,2.551597225,2.945834277,0.249497143,2.732808937,1.105691009,0.374585485,2.496751218,1.410775259,1.801233109,0.74568837,-0.111638986,0,0.389097584,1.240985904,1.117512063,0.657183054,-0.111638986,1.116178419,4.759640558,1.468640659,1.127184551,1.343584323,1.539378252
PhHAL.3G154100,0,0,0,-0.089482332,1.322545815,-0.089482332,2.586483742,0,0.82666766,1.219752075,0.319277347,-0.089482332,0,0,0,-0.089482332,0.394686742,-0.089482332,0.286038936,0,0,-0.089482332,-0.089482332,-0.089482332,0.976591663,3.311016225,3.494159564,1.379731619,0.806634484,1.147524514
PhHAL.3G310800,0,0,0,-0.143231006,-0.143231006,-0.143231006,3.567813129,3.514917575,1.33484855,2.63636702,3.362151843,3.360486626,0,0,0,-0.143231006,-0.143231006,-0.143231006,0,0,0,-0.143231006,-0.143231006,-0.143231006,3.327819557,4.479747934,3.757450016,3.183234436,2.8556234,2.91873869
PhHAL.6G155200,0,0,0,0,0,0,2.70871256,0.788507816,1.055153997,2.145873062,0.882945055,0.615453023,0.298945653,0,0,0,0,0,0,0,0,0,0,0,1.688005747,0,3.090467305,2.089911646,1.556419605,1.522537906
PhHAL.5G283000,0,0,0.765496557,-0.391946946,-0.391946946,-0.391946946,5.128549117,0,0,3.665537985,3.755685381,2.437860002,0,0,0,-0.391946946,1.490430036,-0.391946946,0,1.665447349,0,0.507113419,-0.391946946,-0.391946946,3.851958873,6.251516495,3.22453735,5.306649384,4.561281038,4.412530022
PhHAL.1G081100,0,0,0,0,0,0,3.573956141,3.943264981,0,3.921388723,2.650697936,2.699553853,0.856954625,0,0,0,0,0,0,0,0,0,0,0,2.435751258,4.528983816,4.294841271,2.423761017,1.202449067,2.192888512
PhHAL.9G132200,0,0,2.355123419,-0.710470193,-0.710470193,-0.710470193,2.486001215,0,3.598055479,3.247964202,1.26259733,3.074295504,3.557728666,0,0,1.399124389,3.11934893,3.225960454,1.52598866,2.153584862,0,0.156460726,1.721968147,-0.710470193,3.675861085,7.004108081,0.984325394,1.525379384,1.313051315,2.401884653
PhHAL.9G488500,-0.204159706,-1.684599349,-0.522518518,-1.781405319,-1.520180131,-1.992370943,-1.606536599,-1.80389719,-2.75845385,-3.487238471,-2.830637258,-3.595397834,-0.927521154,-2.75845385,-1.258789068,-0.473232052,-1.338619635,-2.34878909,-0.474167747,0.528895802,1.313094321,-1.435691155,-0.540167466,-3.595397834,-2.027621765,-2.75845385,-2.127575945,-3.238236606,-3.305630637,-3.209497479
PhHAL.3G468700,-0.001984254,-0.001984254,0.009682422,-0.014523978,-0.014523978,-0.014523978,0.032860671,-0.001984254,-0.001984254,0.015180354,-0.014523978,-0.014523978,-0.001984254,-0.001984254,-0.001984254,-0.014523978,-0.014523978,-0.014523978,0.027410534,0.049806012,-0.001984254,-0.014523978,-0.014523978,-0.014523978,0.056454441,-0.001984254,0.052370115,0.027228414,-0.014523978,0.055166916
PhHAL.3G468800,-0.384951253,-0.603010815,0.083759492,-0.979169836,-1.067069829,-1.74829698,-1.123789087,-3.809321143,-1.96987344,-3.387114881,-4.440481457,-3.808412594,-0.992602667,-3.809321143,0.129115216,-2.098290588,-1.896471309,-1.973985218,0.321560319,-0.70145253,-0.543051817,-2.223924852,-1.118652896,-4.855755539,-1.861531572,-1.975220785,-1.715014123,-3.211230094,-2.859844154,-4.167541156
